venta_id,fecha,local_id,producto_id,unidades_vendidas,precio_unitario_aplicado,importe_total
56621,2025-10-31,3,18,3,12.2,36.6
30318,2025-05-04,2,10,2,13.5,27.0
83069,2026-05-05,4,8,4,15.9,63.6
18214,2026-03-01,1,31,2,5.9,11.8
10175,2025-06-20,1,17,5,12.5,62.5
87342,2024-09-02,5,12,6,13.9,83.4
121293,2026-05-12,6,13,2,12.5,25.0
40247,2026-04-24,2,33,1,4.9,4.9
104295,2026-03-01,5,28,1,6.2,6.2
47790,2025-01-10,3,28,2,6.2,12.4
107975,2026-06-20,5,37,2,1.8,3.6
28210,2025-02-17,2,15,2,11.5,23.0
20949,2026-05-24,1,34,5,22.0,110.0
60315,2026-03-15,3,19,3,15.9,47.7
114142,2025-08-29,6,10,2,13.5,27.0
79494,2025-12-18,4,9,2,13.9,27.8
79984,2026-01-05,4,22,2,23.9,47.8
42676,2026-07-18,2,28,1,6.2,6.2
44294,2024-09-09,3,1,1,7.5,7.5
44205,2024-09-06,3,13,2,12.5,25.0
68673,2024-12-14,4,10,5,13.5,67.5
2089,2024-10-11,1,8,2,15.9,31.8
103630,2026-02-03,5,26,2,16.5,33.0
102074,2025-12-08,5,37,1,1.8,1.8
53763,2025-08-01,3,27,3,6.5,19.5
71889,2025-04-24,4,9,3,13.9,41.7
108446,2026-07-03,5,35,8,3.9,31.2
83364,2026-05-14,4,11,3,14.9,44.7
37025,2025-12-31,2,12,3,13.9,41.7
69565,2025-01-22,4,20,1,16.9,16.9
10445,2025-06-28,1,34,3,22.0,66.0
41868,2026-06-19,2,36,2,3.2,6.4
1236,2024-09-14,1,5,1,10.9,10.9
73886,2025-06-23,4,15,6,11.5,69.0
86894,2024-08-21,5,14,3,9.9,29.7
74797,2025-07-18,4,17,8,12.5,100.0
45615,2024-10-24,3,18,2,12.2,24.4
27825,2025-01-17,2,37,2,1.8,3.6
72844,2025-05-24,4,19,2,15.9,31.8
4331,2024-12-19,1,7,1,12.9,12.9
18661,2026-03-15,1,26,1,16.5,16.5
38910,2026-03-09,2,38,2,3.5,7.0
75083,2025-07-26,4,13,2,12.5,25.0
29715,2025-04-13,2,31,1,5.9,5.9
96534,2025-06-28,5,21,2,21.9,43.8
68347,2024-12-01,4,20,3,16.9,50.7
120102,2026-04-02,6,37,-6,1.8,-10.8
118706,2026-02-08,6,19,5,15.9,79.5
62210,2026-05-17,3,9,4,13.9,55.6
63266,2026-06-19,3,25,1,18.9,18.9
11022,2025-07-17,1,15,2,11.5,23.0
50427,2025-04-16,3,37,3,1.8,5.4
102677,2025-12-28,5,30,2,6.5,13.0
20175,2026-05-01,1,6,4,12.5,50.0
116435,2025-11-14,6,19,3,15.9,47.7
69890,2025-02-06,4,19,1,15.9,15.9
21433,2026-06-08,1,35,4,3.9,15.6
118527,2026-02-01,6,20,2,16.9,33.8
21080,2026-05-28,1,37,3,1.8,5.4
3359,2024-11-19,1,16,3,12.9,38.7
13884,2025-10-18,1,25,2,18.9,37.8
23457,2024-08-15,2,9,1,13.9,13.9
74031,2025-06-27,4,19,4,15.9,63.6
103095,2026-01-13,5,7,1,,12.9
94921,2025-05-14,5,30,1,6.5,6.5
15963,2025-12-20,1,36,9,2.82,25.38
55015,2025-09-09,3,9,1,13.9,13.9
49545,2025-03-17,3,20,1,16.9,16.9
21844,2026-06-21,1,17,7,12.5,87.5
91420,2025-01-14,5,23,1,15.9,15.9
39129,2026-03-16,2,38,1,3.5,3.5
49969,2025-04-01,3,8,1,15.9,15.9
21208,2026-06-01,1,30,2,6.5,13.0
94516,2025-05-02,5,38,7,3.5,24.5
13460,2025-10-05,1,36,6,3.2,19.2
30065,2025-04-25,2,36,6,3.2,19.2
23629,2024-08-23,2,11,2,14.9,29.8
34304,2025-09-28,2,38,1,3.5,3.5
103570,2026-02-01,5,4,1,15.9,15.9
18426,2026-03-08,1,15,1,11.5,11.5
70304,2025-02-24,4,26,2,16.5,33.0
56470,2025-10-26,3,21,1,21.9,21.9
92931,2025-03-12,5,35,3,3.9,11.7
69010,2024-12-27,4,18,1,12.2,12.2
110,2024-08-05,1,10,1,13.5,13.5
70455,2025-03-02,4,21,1,21.9,21.9
96389,2025-06-24,5,27,3,6.5,19.5
50602,2025-04-22,3,26,1,16.5,16.5
90331,2024-12-07,5,30,2,6.5,13.0
56312,2025-10-21,3,19,1,15.9,15.9
109116,2026-07-21,5,29,8,6.9,55.2
81979,2026-03-30,4,26,1,16.5,16.5
70163,2025-02-18,4,21,1,21.9,21.9
51189,2025-05-12,3,12,2,13.9,27.8
54331,2025-08-18,3,38,3,3.5,10.5
121414,2026-05-16,6,22,1,23.9,23.9
71662,2025-04-16,4,38,1,3.5,3.5
89977,2024-11-25,5,13,1,12.5,12.5
78976,2025-11-28,4,12,1,13.9,13.9
41511,2026-06-07,2,8,3,15.9,47.7
88125,2024-09-23,5,38,6,3.5,21.0
107389,2026-06-05,5,5,3,10.9,32.7
9654,2025-06-04,1,13,3,12.5,37.5
23965,2024-09-05,2,29,1,6.9,6.9
105562,2026-04-13,5,2,2,11.9,23.8
19806,2026-04-19,1,27,4,6.5,26.0
68037,2024-11-17,4,37,3,1.8,5.4
85911,2026-07-25,4,30,1,6.5,6.5
58893,2026-01-21,3,4,1,15.9,15.9
60256,2026-03-13,3,24,2,19.9,39.8
92241,2025-02-15,5,33,4,4.9,19.6
99567,2025-09-18,5,13,3,12.5,37.5
83383,2026-05-14,4,32,1,3.5,3.5
96214,2025-06-19,5,37,5,1.8,9.0
76674,2025-09-08,4,4,3,15.9,47.7
93444,2025-03-30,5,31,1,5.9,5.9
77584,2025-10-05,4,23,2,15.9,31.8
80142,2026-01-12,4,4,1,15.9,15.9
107334,2026-06-03,5,26,1,16.5,16.5
3268,2024-11-16,1,21,2,21.9,43.8
4558,2024-12-25,1,31,3,5.9,17.7
68105,2024-11-21,4,6,1,12.5,12.5
44108,2024-09-03,3,7,3,12.9,38.7
537,2024-08-21,1,26,2,16.5,33.0
77662,2025-10-08,4,15,3,11.5,34.5
92971,2025-03-14,5,15,3,11.5,34.5
253,2024-08-10,1,23,1,15.9,15.9
104936,2026-03-23,5,33,2,4.9,9.8
112131,2025-06-27,6,6,2,12.5,25.0
105974,2026-04-25,5,15,5,11.5,57.5
39417,2026-03-26,2,37,3,1.8,5.4
94055,2025-04-18,5,38,7,3.5,24.5
109265,2026-07-25,5,26,3,16.5,49.5
57675,2025-12-08,3,15,2,11.5,23.0
84675,2026-06-21,4,23,3,15.9,47.7
58462,2026-01-03,3,38,2,3.5,7.0
30385,2025-05-06,2,25,2,18.9,37.8
18725,2026-03-17,1,22,1,23.9,23.9
100469,2025-10-14,5,35,2,3.9,7.8
65952,2024-09-05,4,38,7,3.5,24.5
49320,2025-03-09,3,19,1,15.9,15.9
26478,2024-12-01,2,23,2,15.9,31.8
98059,2025-08-08,5,14,6,9.9,59.4
76867,2025-09-13,4,32,2,3.5,7.0
122640,2026-06-24,6,35,5,3.9,19.5
3396,2024-11-20,1,26,2,16.5,33.0
11469,2025-07-31,1,30,2,6.5,13.0
114412,2025-09-06,6,32,4,3.5,14.0
104738,2026-03-16,5,27,1,6.5,6.5
78726,2025-11-16,4,18,2,12.2,24.4
61784,2026-05-04,3,4,1,15.9,15.9
45569,2024-10-22,3,30,2,6.5,13.0
38480,2026-02-22,2,36,3,3.2,9.6
79517,2025-12-19,4,2,1,11.9,11.9
73751,2025-06-19,4,25,1,18.9,18.9
12586,2025-09-08,1,38,3,3.5,10.5
123464,2026-07-19,6,33,6,4.9,29.4
64293,2026-07-21,3,15,1,11.5,11.5
73405,2025-06-09,4,32,5,3.5,17.5
74483,2025-07-09,4,37,4,1.8,7.2
7687,2025-04-04,1,11,3,14.9,44.7
6737,2025-03-05,1,17,5,12.5,62.5
25375,2024-10-24,2,7,2,12.9,25.8
98358,2025-08-16,5,12,8,13.9,111.2
46239,2024-11-15,3,38,4,3.5,14.0
50344,2025-04-13,3,38,4,3.5,14.0
120359,2026-04-11,6,15,5,11.5,57.5
21477,2026-06-10,1,10,2,13.5,27.0
36538,2025-12-14,2,38,6,3.5,21.0
41647,2026-06-12,2,18,3,12.2,36.6
48791,2025-02-18,3,28,1,6.2,6.2
100133,2025-10-04,5,6,2,12.5,25.0
74827,2025-07-19,4,12,2,13.9,27.8
14259,2025-10-30,1,5,1,10.9,10.9
5677,2025-01-30,1,29,3,6.9,20.7
66959,2024-10-07,4,15,1,11.5,11.5
44961,2024-10-01,3,37,1,1.8,1.8
111382,2025-06-01,6,26,2,16.5,33.0
65738,2024-08-31,4,1,4,7.5,30.0
53842,2025-08-03,3,32,3,3.5,10.5
65411,2024-08-22,4,10,9,13.5,121.5
71652,2025-04-16,4,25,1,18.9,18.9
23093,2026-07-30,1,14,4,9.9,39.6
19107,2026-03-29,1,11,6,14.9,89.4
55418,2025-09-22,3,11,2,14.9,29.8
42020,2026-06-25,2,15,3,11.5,34.5
92035,2025-02-08,5,3,2,13.5,27.0
61346,2026-04-19,3,27,1,6.5,6.5
22496,2026-07-11,1,23,1,15.9,15.9
36627,2025-12-18,2,3,1,13.5,13.5
75815,2025-08-15,4,14,8,9.9,79.2
102347,2025-12-17,5,27,3,6.5,19.5
48626,2025-02-11,3,19,1,15.9,15.9
12440,2025-09-04,1,24,1,19.9,19.9
113099,2025-07-27,6,26,3,16.5,49.5
56213,2025-10-18,3,14,6,9.9,59.4
34314,2025-09-29,2,13,5,12.5,62.5
89063,2024-10-22,5,35,5,3.9,19.5
70867,2025-03-18,4,20,1,16.9,16.9
66380,2024-09-18,4,28,2,6.2,12.4
97972,2025-08-06,5,1,2,7.5,15.0
47638,2025-01-05,3,5,1,10.9,10.9
24989,2024-10-11,2,26,1,16.5,16.5
23352,2024-08-10,2,16,1,12.9,12.9
77930,2025-10-17,4,7,3,12.9,38.7
96164,2025-06-18,5,25,2,18.9,37.8
84124,2026-06-05,4,38,4,3.5,14.0
50240,2025-04-10,3,26,2,16.5,33.0
45903,2024-11-02,3,34,2,22.0,44.0
11610,2025-08-05,1,20,3,16.9,50.7
51636,2025-05-27,3,18,2,12.2,24.4
55891,2025-10-07,3,36,4,3.2,12.8
73452,2025-06-11,4,8,3,15.9,47.7
50073,2025-04-04,3,37,1,1.8,1.8
109492,2026-07-31,5,30,3,6.5,19.5
4412,2024-12-21,1,18,3,12.2,36.6
68666,2024-12-13,4,38,3,3.5,10.5
116002,2025-10-29,6,2,1,11.9,11.9
68319,2024-11-30,4,21,1,21.9,21.9
12557,2025-09-08,1,4,1,15.9,15.9
42233,2026-07-03,2,4,3,15.9,47.7
11777,2025-08-11,1,19,1,15.9,15.9
8949,2025-05-13,1,15,5,11.5,57.5
100915,2025-10-28,5,34,1,22.0,22.0
28656,2025-03-07,2,6,2,12.5,25.0
102135,2025-12-11,5,7,2,12.9,25.8
30421,2025-05-07,2,32,4,3.5,14.0
118946,2026-02-18,6,27,1,6.5,6.5
121345,2026-05-14,6,14,4,9.9,39.6
26031,2024-11-16,2,1,1,7.5,7.5
59637,2026-02-18,3,8,2,15.9,31.8
46858,2024-12-08,3,37,5,1.8,9.0
100887,2025-10-27,5,36,1,3.2,3.2
84179,2026-06-07,4,19,3,15.9,47.7
113820,2025-08-18,6,29,3,6.9,20.7
97813,2025-08-01,5,32,6,3.5,21.0
9557,2025-05-31,1,33,4,4.9,19.6
52131,2025-06-11,3,32,2,3.5,7.0
20866,2026-05-22,1,15,4,11.5,46.0
29794,2025-04-16,2,30,1,6.5,6.5
109558,2025-03-17,6,29,1,5.86,5.86
114906,2025-09-23,6,1,1,7.5,7.5
115971,2025-10-27,6,36,1,3.2,3.2
98230,2025-08-12,5,36,4,3.2,12.8
91663,2025-01-24,5,21,2,21.9,43.8
62857,2026-06-06,3,23,4,15.9,63.6
30584,2025-05-13,2,33,2,4.9,9.8
44593,2024-09-19,3,30,1,6.5,6.5
9450,2025-05-28,1,22,1,23.9,23.9
23139,2026-07-31,1,37,5,1.8,9.0
25889,2024-11-10,2,23,2,15.9,31.8
106051,2026-04-27,5,27,2,6.5,13.0
49057,2025-02-28,3,30,1,6.5,6.5
64960,2024-08-09,4,30,5,4.55,22.75
113185,2025-07-30,6,17,1,12.5,12.5
121244,2026-05-10,6,22,2,23.9,47.8
62760,2026-06-03,3,29,2,6.9,13.8
52896,2025-07-05,3,22,3,23.9,71.7
5269,2025-01-17,1,18,2,12.2,24.4
23413,2024-08-13,2,19,1,15.9,15.9
15467,2025-12-06,1,10,-1,13.5,-13.5
92653,2025-03-03,5,5,1,10.9,10.9
62565,2026-05-28,3,25,3,18.9,56.7
10665,2025-07-05,1,33,5,4.9,24.5
103357,2026-01-23,5,37,3,1.8,5.4
42372,2026-07-07,2,32,4,3.5,14.0
82173,2026-04-06,4,10,2,13.5,27.0
118783,2026-02-11,6,34,3,22.0,66.0
62704,2026-06-01,3,30,2,6.5,13.0
52544,2025-06-24,3,30,2,6.5,13.0
56189,2025-10-17,3,28,3,6.2,18.6
25056,2024-10-13,2,24,1,19.9,19.9
113415,2025-08-06,6,18,3,12.2,36.6
61691,2026-05-01,3,11,5,14.9,74.5
42863,2026-07-25,2,16,5,12.9,64.5
67648,2024-11-01,4,5,2,10.9,21.8
33668,2025-09-07,2,3,1,13.5,13.5
5608,2025-01-28,1,19,2,15.9,31.8
87529,2024-09-07,5,20,5,16.9,84.5
106224,2026-05-02,5,33,4,4.9,19.6
67983,2024-11-15,4,33,3,4.9,14.7
25971,2024-11-13,2,33,5,4.9,24.5
95814,2025-06-09,5,2,2,11.9,23.8
54979,2025-09-08,3,4,2,15.9,31.8
25705,2024-11-04,2,16,3,12.9,38.7
51344,2025-05-17,3,23,1,15.9,15.9
110110,2025-04-13,6,33,1,4.9,4.9
93002,2025-03-15,5,15,3,11.5,34.5
87672,2024-09-11,5,20,1,16.9,16.9
33517,2025-09-02,2,6,1,12.5,12.5
112037,2025-06-23,6,35,2,3.9,7.8
1371,2024-09-18,1,29,1,6.9,6.9
99716,2025-09-22,5,20,4,16.9,67.6
78118,2025-10-24,4,16,4,12.9,51.6
73222,2025-06-04,4,35,3,3.9,11.7
15708,2025-12-13,1,16,4,12.9,51.6
21979,2026-06-25,1,27,2,,13.0
50698,2025-04-25,3,38,4,3.5,14.0
7769,2025-04-06,1,24,4,19.9,79.6
112130,2025-06-27,6,5,2,10.9,21.8
34052,2025-09-20,2,17,8,12.5,100.0
22838,2026-07-22,1,6,3,12.5,37.5
62886,2026-06-07,3,14,5,9.9,49.5
31112,2025-05-31,2,37,4,1.8,7.2
56151,2025-10-16,3,16,6,12.9,77.4
49405,2025-03-12,3,25,1,18.9,18.9
87603,2024-09-09,5,22,1,23.9,23.9
111383,2025-06-01,6,27,2,6.5,13.0
7830,2025-04-08,1,23,3,15.9,47.7
120513,2026-04-16,6,27,2,6.5,13.0
47726,2025-01-08,3,25,3,18.9,56.7
26179,2024-11-21,2,8,2,15.9,31.8
31062,2025-05-30,2,11,1,14.9,14.9
72322,2025-05-08,4,8,2,15.9,31.8
104453,2026-03-07,5,11,1,14.9,14.9
8323,2025-04-23,1,23,2,15.9,31.8
46419,2024-11-22,3,30,3,6.5,19.5
29839,2025-04-18,2,10,2,13.5,27.0
15820,2025-12-16,1,32,5,3.08,15.4
53244,2025-07-16,3,26,2,16.5,33.0
93322,2025-03-26,5,22,2,23.9,47.8
78069,2025-10-22,4,20,1,16.9,16.9
74723,2025-07-16,4,17,8,12.5,100.0
66802,2024-10-01,4,20,3,16.9,50.7
117724,2025-12-31,6,20,2,16.9,33.8
21147,2026-05-30,1,34,12,22.0,264.0
36364,2025-12-09,2,15,1,11.5,11.5
87015,2024-08-24,5,22,3,23.9,71.7
23927,2024-09-04,2,16,2,12.9,25.8
84555,2026-06-18,4,10,6,13.5,81.0
122765,2026-06-28,6,21,2,21.9,43.8
39201,2026-03-19,2,20,1,16.9,16.9
26442,2024-11-30,2,15,1,11.5,11.5
107274,2026-06-02,5,3,3,13.5,40.5
58527,2026-01-06,3,34,3,22.0,66.0
93617,2025-04-05,5,18,3,12.2,36.6
56821,2025-11-07,3,33,3,4.9,14.7
94698,2025-05-08,5,11,6,14.9,89.4
100762,2025-10-24,5,6,1,12.5,12.5
25021,2024-10-12,2,25,1,18.9,18.9
44732,2024-09-23,3,38,1,3.5,3.5
75563,2025-08-08,4,22,4,23.9,95.6
114947,2025-09-24,6,13,2,12.5,25.0
49072,2025-03-01,3,10,2,13.5,27.0
39604,2026-04-02,2,20,1,16.9,16.9
86979,2024-08-23,5,23,4,15.9,63.6
43422,2024-08-12,3,34,2,22.0,44.0
111052,2025-05-20,6,22,1,23.9,23.9
111929,2025-06-20,6,13,5,12.5,62.5
41272,2026-05-30,2,4,3,,47.7
63066,2026-06-13,3,18,5,12.2,61.0
105395,2026-04-08,5,4,1,15.9,15.9
119741,2026-03-20,6,37,4,1.8,7.2
2227,2024-10-15,1,12,3,13.9,41.7
118534,2026-02-01,6,34,3,22.0,66.0
93650,2025-04-06,5,15,4,11.5,46.0
18756,2026-03-18,1,28,2,6.2,12.4
107312,2026-06-03,5,4,4,15.9,63.6
101566,2025-11-21,5,1,1,7.5,7.5
102307,2025-12-16,5,18,1,12.2,12.2
68384,2024-12-03,4,12,2,13.9,27.8
100423,2025-10-13,5,12,1,13.9,13.9
61411,2026-04-22,3,5,3,10.9,32.7
6031,2025-02-10,1,38,1,3.5,3.5
6757,2025-03-06,1,4,2,15.9,31.8
97136,2025-07-14,5,27,2,6.5,13.0
57518,2025-12-03,3,9,2,13.9,27.8
90565,2024-12-15,5,12,6,13.9,83.4
6268,2025-02-18,1,30,3,6.5,19.5
117168,2025-12-12,6,1,1,7.5,7.5
50086,2025-04-05,3,14,4,9.9,39.6
6904,2025-03-10,1,26,2,16.5,33.0
98046,2025-08-08,5,1,2,7.5,15.0
42179,2026-07-01,2,1,1,7.5,7.5
56211,2025-10-18,3,12,1,13.9,13.9
61437,2026-04-22,3,38,6,3.5,21.0
67198,2024-10-16,4,12,1,13.9,13.9
94090,2025-04-19,5,35,3,3.9,11.7
118896,2026-02-16,6,6,1,12.5,12.5
62146,2026-05-15,3,12,3,13.9,41.7
40728,2026-05-11,2,18,3,12.2,36.6
40814,2026-05-14,2,18,2,12.2,24.4
47163,2024-12-19,3,38,6,3.5,21.0
8145,2025-04-18,1,5,2,10.9,21.8
90581,2024-12-15,5,32,2,3.5,7.0
12047,2025-08-21,1,33,2,4.9,9.8
11517,2025-08-02,1,11,1,14.9,14.9
18867,2026-03-22,1,1,2,7.5,15.0
115901,2025-10-25,6,21,5,21.9,109.5
2970,2024-11-07,1,9,1,13.9,13.9
105743,2026-04-18,5,14,4,9.9,39.6
10462,2025-06-29,1,13,3,12.5,37.5
102068,2025-12-08,5,30,2,6.5,13.0
98570,2025-08-21,5,36,13,3.2,41.6
93576,2025-04-04,5,12,1,13.9,13.9
53888,2025-08-05,3,16,2,12.9,25.8
113238,2025-07-31,6,38,1,3.5,3.5
51812,2025-06-02,3,5,1,10.9,10.9
32614,2025-07-25,2,25,1,18.9,18.9
83300,2026-05-12,4,12,3,13.9,41.7
114926,2025-09-23,6,25,1,18.9,18.9
88017,2024-09-21,5,2,1,11.9,11.9
100752,2025-10-23,5,32,8,3.5,28.0
13321,2025-10-01,1,23,5,15.9,79.5
89987,2024-11-25,5,29,1,6.9,6.9
105678,2026-04-16,5,19,3,15.9,47.7
50594,2025-04-22,3,18,4,12.2,48.8
104196,2026-02-25,5,36,1,3.2,3.2
37847,2026-01-30,2,17,2,12.5,25.0
109829,2025-03-31,6,17,1,10.62,10.62
45318,2024-10-14,3,9,4,13.9,55.6
44353,2024-09-11,3,8,3,15.9,47.7
57103,2025-11-17,3,30,1,6.5,6.5
55679,2025-09-30,3,28,1,6.2,6.2
44685,2024-09-22,3,16,1,12.9,12.9
121175,2026-05-08,6,24,2,19.9,39.8
83234,2026-05-10,4,12,3,13.9,41.7
10513,2025-06-30,1,33,2,4.9,9.8
53162,2025-07-13,3,37,6,1.8,10.8
14777,2025-11-15,1,20,5,16.9,84.5
27162,2024-12-24,2,15,3,11.5,34.5
62530,2026-05-27,3,26,1,16.5,16.5
81664,2026-03-18,4,29,1,6.9,6.9
100474,2025-10-15,5,5,3,10.9,32.7
18129,2026-02-27,1,7,2,12.9,25.8
4175,2024-12-14,1,10,6,13.5,81.0
22283,2026-07-04,1,36,5,3.2,16.0
100258,2025-10-08,5,12,2,13.9,27.8
13249,2025-09-29,1,12,1,13.9,13.9
97050,2025-07-12,5,15,2,11.5,23.0
80143,2026-01-12,4,6,2,12.5,25.0
62850,2026-06-06,3,16,5,12.9,64.5
5115,2025-01-12,1,6,3,12.5,37.5
57285,2025-11-24,3,11,3,14.9,44.7
117624,2025-12-27,6,19,2,15.9,31.8
61584,2026-04-27,3,34,1,22.0,22.0
50013,2025-04-02,3,31,3,5.9,17.7
81732,2026-03-21,4,14,3,9.9,29.7
80900,2026-02-14,4,34,3,22.0,66.0
115391,2025-10-08,6,32,3,3.5,10.5
106914,2026-05-22,5,21,6,21.9,131.4
66915,2024-10-06,4,1,2,7.5,15.0
61848,2026-05-06,3,3,1,13.5,13.5
62628,2026-05-30,3,19,4,15.9,63.6
33031,2025-08-11,2,15,1,11.5,11.5
95704,2025-06-06,5,3,2,13.5,27.0
28602,2025-03-04,2,36,3,3.2,9.6
75366,2025-08-03,4,9,2,13.9,27.8
13864,2025-10-18,1,5,2,10.9,21.8
7101,2025-03-16,1,33,3,4.9,14.7
48644,2025-02-12,3,10,2,13.5,27.0
29066,2025-03-22,2,6,1,12.5,12.5
53141,2025-07-13,3,15,2,11.5,23.0
79114,2025-12-03,4,26,2,16.5,33.0
5571,2025-01-27,1,14,1,9.9,9.9
8120,2025-04-17,1,16,6,12.9,77.4
65332,2024-08-20,4,2,2,11.9,23.8
105725,2026-04-17,5,34,6,22.0,132.0
122542,2026-06-21,6,19,5,15.9,79.5
11967,2025-08-18,1,17,2,12.5,25.0
61406,2026-04-21,3,37,4,1.8,7.2
102744,2025-12-31,5,7,3,12.9,38.7
87658,2024-09-11,5,6,3,12.5,37.5
41697,2026-06-14,2,9,2,13.9,27.8
85946,2026-07-26,4,30,1,6.5,6.5
90908,2024-12-26,5,36,4,3.2,12.8
50099,2025-04-05,3,28,3,6.2,18.6
14903,2025-11-19,1,17,1,12.5,12.5
99525,2025-09-17,5,8,4,15.9,63.6
123739,2026-07-28,6,23,1,15.9,15.9
115613,2025-10-16,6,4,1,15.9,15.9
105556,2026-04-12,5,34,6,22.0,132.0
38244,2026-02-14,2,25,2,18.9,37.8
64851,2024-08-06,4,33,4,4.9,19.6
11755,2025-08-10,1,25,1,18.9,18.9
29600,2025-04-10,2,16,1,12.9,12.9
88880,2024-10-17,5,17,3,12.5,37.5
115066,2025-09-28,6,6,2,12.5,25.0
76552,2025-09-04,4,22,2,23.9,47.8
45840,2024-10-31,3,26,2,16.5,33.0
16750,2026-01-13,1,34,2,22.0,44.0
56775,2025-11-06,3,10,2,13.5,27.0
65847,2024-09-03,4,2,1,11.9,11.9
53059,2025-07-10,3,36,2,3.2,6.4
66750,2024-09-29,4,26,1,16.5,16.5
89065,2024-10-22,5,37,5,1.8,9.0
122463,2026-06-19,6,5,2,10.9,21.8
